ID de transação,É novo usuário?,Parceiro,Data da transação,Valor da compra,Comissão da compra,Cashback da compra
112051,FALSE,A,2025-09-06,182.55,18.26,9.13
124729,TRUE,C,2025-08-18,343.4,34.34,17.17
106114,FALSE,A,2025-08-28,147.37,14.74,7.37
110191,TRUE,C,2025-08-24,375.03,37.5,18.75
108298,FALSE,C,2025-09-07,208.3,20.83,10.42
135223,FALSE,A,2025-09-03,230.04,23,11.5
147288,FALSE,B,2025-09-24,205.94,20.59,10.3
140750,FALSE,C,2025-09-16,181.91,18.19,9.1
133617,FALSE,A,2025-09-09,289.47,28.95,14.47
148405,FALSE,A,2025-09-30,218.38,21.84,10.92
106499,TRUE,A,2025-08-20,436.28,43.63,21.81
148313,FALSE,B,2025-09-29,180.57,18.06,9.03
126590,TRUE,B,2025-08-18,319.53,31.95,15.98
115043,TRUE,C,2025-08-12,401.99,40.2,20.1
104378,FALSE,C,2025-08-10,218.46,21.85,10.92
102831,FALSE,C,2025-09-05,191.82,19.18,9.59
113600,FALSE,A,2025-08-24,153.44,15.34,7.67
115281,FALSE,B,2025-09-04,180.62,18.06,9.03
136496,FALSE,B,2025-09-02,133.67,13.37,6.68
117463,FALSE,A,2025-08-30,182.56,18.26,9.13
100549,FALSE,B,2025-09-10,158.68,15.87,7.93
149045,FALSE,B,2025-09-23,154.07,15.41,7.7
115252,TRUE,B,2025-08-11,499.97,50,25
149355,FALSE,A,2025-09-27,170.72,17.07,8.54
141698,FALSE,B,2025-09-30,221.81,22.18,11.09
112534,TRUE,A,2025-09-10,379.11,37.91,18.96
140140,FALSE,C,2025-09-25,218.85,21.88,10.94
109433,TRUE,B,2025-08-20,407.36,40.74,20.37
104266,FALSE,B,2025-08-01,197.63,19.76,9.88
116713,FALSE,B,2025-08-11,172.09,17.21,8.6
143394,FALSE,B,2025-09-22,216.76,21.68,10.84
148150,FALSE,C,2025-09-26,234.59,23.46,11.73
129664,FALSE,A,2025-08-09,181.6,18.16,9.08
101913,FALSE,B,2025-09-02,234.14,23.41,11.71
147158,FALSE,A,2025-09-16,171.63,17.16,8.58
122895,TRUE,A,2025-08-30,283.33,28.33,14.17
121692,FALSE,B,2025-08-31,227.96,22.8,11.4
107278,FALSE,C,2025-08-05,170.09,17.01,8.5
140903,FALSE,C,2025-09-26,224.03,22.4,11.2
108078,TRUE,B,2025-08-19,430.47,43.05,21.52
146722,FALSE,A,2025-09-29,224.96,22.5,11.25
116841,FALSE,A,2025-08-13,158.58,15.86,7.93
134542,FALSE,B,2025-08-04,201.71,20.17,10.09
138266,FALSE,A,2025-09-21,188.56,18.86,9.43
126940,TRUE,C,2025-08-01,339.74,33.97,16.99
107821,TRUE,C,2025-09-03,433.04,43.3,21.65
115081,FALSE,C,2025-08-01,181.39,18.14,9.07
146699,FALSE,B,2025-09-26,226.22,22.62,11.31
141113,FALSE,C,2025-09-21,174.12,17.41,8.71
119000,TRUE,C,2025-09-05,345.44,34.54,17.27
121592,FALSE,A,2025-08-27,175.84,17.58,8.79
139521,FALSE,A,2025-09-18,209.52,20.95,10.48
127280,TRUE,A,2025-09-02,465.82,46.58,23.29
103106,FALSE,A,2025-08-11,175.58,17.56,8.78
148229,FALSE,A,2025-09-23,210.57,21.06,10.53
117323,FALSE,A,2025-09-10,199.31,19.93,9.97
102324,TRUE,A,2025-08-15,303.5,30.35,15.18
111072,FALSE,B,2025-08-04,186.96,18.7,9.35
112529,FALSE,B,2025-08-07,206.33,20.63,10.32
132260,FALSE,C,2025-09-08,190.42,19.04,9.52
101857,FALSE,B,2025-08-03,183.31,18.33,9.17
132051,FALSE,C,2025-08-25,203.03,20.3,10.15
100565,TRUE,C,2025-08-01,412.87,41.29,20.64
141840,FALSE,C,2025-09-16,210.19,21.02,10.51
110401,FALSE,B,2025-08-16,236.09,23.61,11.8
139505,FALSE,B,2025-09-24,183.97,18.4,9.2
100383,FALSE,A,2025-09-03,210.93,21.09,10.55
107273,TRUE,B,2025-08-05,381.71,38.17,19.09
113267,FALSE,B,2025-08-05,186.24,18.62,9.31
133799,TRUE,A,2025-08-01,380.28,38.03,19.01
101928,FALSE,C,2025-08-05,232.77,23.28,11.64
140391,FALSE,C,2025-09-16,171.05,17.1,8.55
111235,TRUE,A,2025-08-27,438.72,43.87,21.94
141449,FALSE,A,2025-09-30,206.51,20.65,10.33
121934,TRUE,B,2025-08-23,483.5,48.35,24.18
104903,FALSE,A,2025-08-15,197,19.7,9.85
146850,FALSE,B,2025-09-26,166.05,16.6,8.3
112770,FALSE,A,2025-09-04,183.28,18.33,9.16
110598,FALSE,C,2025-08-10,216.83,21.68,10.84
115496,FALSE,C,2025-09-13,235.52,23.55,11.78
101929,TRUE,B,2025-09-06,416.64,41.66,20.83
145025,FALSE,A,2025-09-22,173.49,17.35,8.67
146638,FALSE,A,2025-09-17,275.34,27.53,13.77
101650,FALSE,A,2025-08-25,195.82,19.58,9.79
133877,FALSE,A,2025-08-10,209.36,20.94,10.47
107853,FALSE,A,2025-08-19,185.08,18.51,9.25
140541,FALSE,A,2025-09-19,213.31,21.33,10.67
100852,FALSE,C,2025-08-16,186.44,18.64,9.32
137941,FALSE,A,2025-09-21,140.27,14.03,7.01
129147,TRUE,B,2025-08-30,510.94,51.09,25.55
113336,FALSE,B,2025-08-05,237.64,23.76,11.88
126504,TRUE,A,2025-08-12,338.69,33.87,16.93
115423,FALSE,B,2025-08-31,221.25,22.12,11.06
118215,TRUE,A,2025-08-17,363.12,36.31,18.16
142261,FALSE,A,2025-09-21,171.1,17.11,8.56
110859,FALSE,B,2025-08-12,230.76,23.08,11.54
109662,FALSE,A,2025-08-04,210.02,21,10.5
109898,FALSE,C,2025-08-15,184.89,18.49,9.24
106503,TRUE,A,2025-08-08,381.98,38.2,19.1
149407,FALSE,C,2025-09-16,225.62,22.56,11.28
148722,FALSE,C,2025-09-25,192.55,19.26,9.63
133208,FALSE,A,2025-08-17,205.55,20.56,10.28
113389,TRUE,C,2025-08-05,440.38,44.04,22.02
128439,FALSE,A,2025-08-10,184.3,18.43,9.22
102773,TRUE,A,2025-08-30,328.58,32.86,16.43
149224,FALSE,C,2025-09-27,226.9,22.69,11.34
136251,FALSE,B,2025-08-24,200.66,20.07,10.03
124884,FALSE,B,2025-09-13,175.38,17.54,8.77
105263,FALSE,C,2025-08-15,198.92,19.89,9.95
138527,FALSE,A,2025-09-28,203.92,20.39,10.2
116245,TRUE,C,2025-08-10,385.89,38.59,19.29
128502,TRUE,A,2025-08-01,380.68,38.07,19.03
139236,FALSE,B,2025-09-16,215.79,21.58,10.79
104318,FALSE,B,2025-08-28,206.33,20.63,10.32
122451,FALSE,B,2025-09-11,206.23,20.62,10.31
114921,FALSE,B,2025-08-22,233.98,23.4,11.7
113399,FALSE,B,2025-09-11,188.32,18.83,9.42
138604,FALSE,B,2025-09-21,235.93,23.59,11.8
111646,FALSE,A,2025-08-15,162.17,16.22,8.11
129695,FALSE,B,2025-08-27,167.31,16.73,8.37
114662,FALSE,A,2025-08-28,189.63,18.96,9.48
145226,FALSE,A,2025-09-17,181.42,18.14,9.07
132396,FALSE,B,2025-09-05,183.35,18.34,9.17
107865,TRUE,A,2025-09-06,437.56,43.76,21.88
133088,FALSE,B,2025-09-07,209.58,20.96,10.48
106250,TRUE,C,2025-08-08,515.31,51.53,25.77
148549,FALSE,A,2025-09-28,200.22,20.02,10.01
143646,FALSE,B,2025-09-18,183.29,18.33,9.16
120261,FALSE,C,2025-08-10,241.56,24.16,12.08
127211,FALSE,B,2025-08-22,226.42,22.64,11.32
105847,TRUE,A,2025-08-18,357.2,35.72,17.86
142850,FALSE,C,2025-09-25,183.34,18.33,9.17
112981,FALSE,C,2025-09-07,239.14,23.91,11.96
109567,FALSE,B,2025-08-17,214.33,21.43,10.72
143654,FALSE,B,2025-09-18,204.74,20.47,10.24
107664,TRUE,B,2025-08-03,498.43,49.84,24.92
113789,TRUE,C,2025-08-11,398.99,39.9,19.95
101888,FALSE,C,2025-08-25,176.5,17.65,8.83
134581,FALSE,A,2025-08-13,153.45,15.34,7.67
133279,FALSE,B,2025-08-21,208.28,20.83,10.41
149230,TRUE,C,2025-09-27,394.36,39.44,19.72
104402,FALSE,A,2025-09-01,169.63,16.96,8.48
118489,TRUE,B,2025-08-17,383.23,38.32,19.16
142356,FALSE,C,2025-09-15,204.21,20.42,10.21
126196,TRUE,C,2025-08-26,451.54,45.15,22.58
102417,FALSE,A,2025-09-14,199.28,19.93,9.96
125695,TRUE,C,2025-09-07,427.71,42.77,21.39
100951,FALSE,A,2025-08-07,196.83,19.68,9.84
144567,FALSE,B,2025-09-20,200.93,20.09,10.05
119037,FALSE,A,2025-08-07,246.67,24.67,12.33
144259,FALSE,B,2025-09-30,250.87,25.09,12.54
119513,FALSE,C,2025-08-09,160.77,16.08,8.04
124491,TRUE,B,2025-08-23,453.96,45.4,22.7
104771,FALSE,A,2025-09-13,224.67,22.47,11.23
111818,FALSE,C,2025-09-12,205.17,20.52,10.26
119185,FALSE,B,2025-09-08,203.86,20.39,10.19
117808,TRUE,A,2025-09-01,386.04,38.6,19.3
120760,FALSE,C,2025-08-01,198.61,19.86,9.93
121217,FALSE,B,2025-08-12,239.01,23.9,11.95
112849,FALSE,B,2025-08-20,183.24,18.32,9.16
105494,TRUE,A,2025-08-27,401.94,40.19,20.1
129043,FALSE,A,2025-08-01,252,25.2,12.6
136879,TRUE,C,2025-08-13,388.61,38.86,19.43
131262,FALSE,B,2025-08-21,236.25,23.62,11.81
114489,FALSE,A,2025-08-26,210.18,21.02,10.51
129962,FALSE,B,2025-09-13,149.05,14.9,7.45
121902,FALSE,A,2025-08-10,194.94,19.49,9.75
104557,TRUE,A,2025-08-29,435.49,43.55,21.77
142869,FALSE,B,2025-09-30,222.42,22.24,11.12
143942,FALSE,A,2025-09-21,213.22,21.32,10.66
149069,FALSE,A,2025-09-24,188.7,18.87,9.44
115441,FALSE,A,2025-08-09,167.48,16.75,8.37
113551,FALSE,C,2025-08-20,155.14,15.51,7.76
136412,FALSE,C,2025-08-14,192.81,19.28,9.64
125700,TRUE,B,2025-08-03,440.04,44,22
146110,FALSE,C,2025-09-15,232.65,23.26,11.63
115495,FALSE,C,2025-09-07,175.87,17.59,8.79
109992,FALSE,C,2025-08-31,229.17,22.92,11.46
103994,TRUE,A,2025-08-31,316.14,31.61,15.81
114452,FALSE,B,2025-08-31,200.41,20.04,10.02
133643,FALSE,B,2025-09-04,209.55,20.96,10.48
143314,FALSE,B,2025-09-19,255.04,25.5,12.75
121563,TRUE,A,2025-09-14,354.46,35.45,17.72
112467,TRUE,B,2025-08-25,353.38,35.34,17.67
122632,TRUE,A,2025-08-07,398.72,39.87,19.94
146384,TRUE,A,2025-09-28,401.78,40.18,20.09
142455,FALSE,A,2025-09-23,177.68,17.77,8.88
146609,FALSE,B,2025-09-18,173.71,17.37,8.69
112118,FALSE,B,2025-08-27,163.23,16.32,8.16
129561,FALSE,A,2025-08-13,271.86,27.19,13.59
148915,FALSE,C,2025-09-24,204.82,20.48,10.24
109306,TRUE,B,2025-08-15,451.79,45.18,22.59
115501,FALSE,B,2025-09-01,199.53,19.95,9.98
110687,FALSE,C,2025-08-01,221.08,22.11,11.05
108895,FALSE,B,2025-09-06,199.79,19.98,9.99
120332,FALSE,B,2025-08-17,179.79,17.98,8.99
141947,FALSE,A,2025-09-16,228.79,22.88,11.44
116915,TRUE,C,2025-08-01,404.95,40.5,20.25
105546,FALSE,B,2025-08-15,217.56,21.76,10.88
148297,FALSE,A,2025-09-18,170.45,17.04,8.52
129384,FALSE,A,2025-08-22,189.15,18.92,9.46
103243,FALSE,B,2025-09-13,261.67,26.17,13.08
137805,FALSE,B,2025-09-25,161.23,16.12,8.06
148779,FALSE,B,2025-09-19,198.8,19.88,9.94
124614,TRUE,C,2025-08-22,475.71,47.57,23.79
140181,FALSE,A,2025-09-27,259.55,25.96,12.98
116208,FALSE,B,2025-08-12,191.03,19.1,9.55
126970,FALSE,B,2025-08-15,219.51,21.95,10.98
120328,TRUE,A,2025-08-27,459.39,45.94,22.97
139092,FALSE,B,2025-09-18,178.18,17.82,8.91
149589,FALSE,C,2025-09-15,205.26,20.53,10.26
111640,FALSE,B,2025-08-14,224.16,22.42,11.21
118417,FALSE,C,2025-08-14,190.04,19,9.5
104795,FALSE,A,2025-09-08,191.53,19.15,9.58
123672,TRUE,A,2025-08-29,379.03,37.9,18.95
122144,TRUE,B,2025-08-12,378,37.8,18.9
134045,FALSE,A,2025-09-14,206.25,20.62,10.31
112771,FALSE,A,2025-08-15,171.71,17.17,8.59
104600,FALSE,B,2025-08-15,220.81,22.08,11.04
130853,FALSE,C,2025-09-02,226.36,22.64,11.32
128425,FALSE,C,2025-08-10,263.68,26.37,13.18
116704,TRUE,C,2025-08-04,406.94,40.69,20.35
124761,FALSE,A,2025-09-14,228.81,22.88,11.44
108436,FALSE,C,2025-08-26,175.31,17.53,8.77
103323,FALSE,B,2025-08-08,178.92,17.89,8.95
112225,TRUE,A,2025-08-13,405.67,40.57,20.28
128199,TRUE,B,2025-08-29,434.3,43.43,21.72
141066,FALSE,A,2025-09-29,209.8,20.98,10.49
137196,FALSE,A,2025-08-18,206.04,20.6,10.3
125651,FALSE,A,2025-08-18,208.08,20.81,10.4
104349,TRUE,A,2025-08-18,503.93,50.39,25.2
103800,FALSE,B,2025-08-14,184.43,18.44,9.22
133655,FALSE,C,2025-09-12,219.13,21.91,10.96
114500,FALSE,A,2025-08-10,228.52,22.85,11.43
141375,FALSE,A,2025-09-17,236,23.6,11.8
106921,FALSE,A,2025-08-15,250.56,25.06,12.53
125123,FALSE,C,2025-08-01,174.14,17.41,8.71
127663,TRUE,B,2025-08-21,395.09,39.51,19.75
101799,FALSE,C,2025-08-30,181.02,18.1,9.05
136444,FALSE,C,2025-09-10,211.46,21.15,10.57
107466,TRUE,B,2025-09-05,426.18,42.62,21.31
146897,FALSE,C,2025-09-23,192.3,19.23,9.62
101109,FALSE,B,2025-08-06,179.83,17.98,8.99
102508,FALSE,A,2025-08-15,239.84,23.98,11.99
126067,FALSE,A,2025-08-28,167.34,16.73,8.37
125110,FALSE,C,2025-09-04,223.29,22.33,11.16
100490,FALSE,B,2025-08-05,206.78,20.68,10.34
132859,FALSE,A,2025-08-26,177.23,17.72,8.86
149511,FALSE,B,2025-09-18,230.54,23.05,11.53
114700,TRUE,A,2025-08-27,375.59,37.56,18.78
142186,FALSE,B,2025-09-17,231.94,23.19,11.6
130284,TRUE,A,2025-08-09,379.26,37.93,18.96
130568,FALSE,B,2025-09-01,229.68,22.97,11.48
134836,TRUE,B,2025-08-21,460.96,46.1,23.05
127697,FALSE,C,2025-08-01,210.11,21.01,10.51
134183,FALSE,A,2025-09-08,207.83,20.78,10.39
121981,FALSE,B,2025-08-17,179.41,17.94,8.97
107693,FALSE,A,2025-08-04,257.73,25.77,12.89
118331,TRUE,B,2025-08-07,506.45,50.64,25.32
104095,TRUE,C,2025-08-20,454.12,45.41,22.71
146633,FALSE,C,2025-09-28,202.98,20.3,10.15
107526,FALSE,C,2025-08-24,202.46,20.25,10.12
140108,FALSE,A,2025-09-18,198.95,19.9,9.95
113057,TRUE,A,2025-09-06,374.46,37.45,18.72
104278,FALSE,A,2025-08-25,238.47,23.85,11.92
113047,TRUE,A,2025-08-24,424.3,42.43,21.22
116022,FALSE,A,2025-08-07,178.2,17.82,8.91
134960,FALSE,C,2025-08-05,190.95,19.1,9.55
100373,TRUE,A,2025-08-14,322.74,32.27,16.14
109961,FALSE,C,2025-08-20,196.34,19.63,9.82
103375,FALSE,C,2025-08-17,193.99,19.4,9.7
130775,FALSE,A,2025-08-24,206.06,20.61,10.3
124403,FALSE,B,2025-08-11,210.62,21.06,10.53
101333,TRUE,C,2025-08-09,497.89,49.79,24.89
101182,TRUE,C,2025-08-18,400.4,40.04,20.02
121497,TRUE,B,2025-09-01,386.56,38.66,19.33
148123,FALSE,A,2025-09-22,203.35,20.34,10.17
134191,TRUE,A,2025-09-03,429.73,42.97,21.49
138523,FALSE,B,2025-09-18,202.82,20.28,10.14
148494,FALSE,B,2025-09-23,183.14,18.31,9.16
128224,TRUE,B,2025-08-21,374.78,37.48,18.74
118626,FALSE,B,2025-08-17,246.8,24.68,12.34
106911,FALSE,A,2025-08-08,180.22,18.02,9.01
107791,TRUE,C,2025-08-30,359.84,35.98,17.99
127646,FALSE,B,2025-09-13,173.61,17.36,8.68
117096,FALSE,C,2025-08-05,209.26,20.93,10.46
145967,FALSE,A,2025-09-28,239.42,23.94,11.97
145891,FALSE,A,2025-09-16,171.36,17.14,8.57
134897,FALSE,A,2025-08-24,163.54,16.35,8.18
108472,FALSE,C,2025-09-06,171.85,17.18,8.59
126423,TRUE,A,2025-08-02,463.17,46.32,23.16
116805,FALSE,A,2025-08-23,200.48,20.05,10.02
100570,FALSE,C,2025-08-18,193.52,19.35,9.68
120298,FALSE,C,2025-09-05,163.62,16.36,8.18
123368,FALSE,B,2025-09-11,214.63,21.46,10.73
